QID,Label,Aliases
Q3656582,gender performativity,gender performance
Q4849481,baklâ,bayot|bading
Q6581072,female,woman|human female|female person|lady|female human|fairer sex|female gender|fem|f|women|girl|girls|female character
Q6581097,male,m|male gender|man|male person|male human|guy|sterner sex|masc|boy|male character
Q16874840,other sex,O|other gender|Other sex|Other gender|other-sex|other-gender|othergender|other|eligender|o|O-gender
Q17992424,gender feminism,
Q27679684,transfeminine,trans feminine|transfem|transfemme|trans femme|trans fem|trans-feminine|transfemininity|transgender femininity
Q27679766,transmasculine,trans masculine|transmasculinity|trans masculinity|transgender masculinity|transmasc|trans masc|trans-masculine|trans-masc
Q107502361,transneutral,transneu|transneutrality|transneutrois|trans neutrois|trans neutral|transgender neutrality|transneuter|trans neuter
Q124850662,apagender,gender apathetic|gender apathy|inersgender|anvisgender|cassgender
Q126734714,Lecturer Gender,
Q130963923,genderless,genderlessness
